route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
7-1-0,7,0,Otis St & Summer St - City Point,,1,50070000,45683373
7-2-0,7,0,Otis St & Summer St - City Point via East 1st St,Weekdays only,2,50070004,45683374
7-7-0,7,0,Chauncy St & Summer St - City Point,Weekdays only,2,50070006,45683092
7-1-1,7,1,City Point - Otis St & Summer St,,1,50070100,45683195
7-2-1,7,1,City Point - Otis St & Summer St via East 1st St,Weekdays only,2,50070104,45683309
7-5-1,7,1,City Point - South Station,AM peak hours only,2,50070105,45683214
8-9-0,8,0,Kenmore Station - Harbor Point via South Bay Center,,1,50080000,45682146
8-1-0,8,0,Kenmore Station - Harbor Point,,2,50080004,45682266
8-9-1,8,1,Harbor Point - Kenmore Station via South Bay Center,,1,50080100,45682071
8-1-1,8,1,Harbor Point - Kenmore Station,,2,50080104,45682148
9-_-0,9,0,Copley Station - City Point,,1,50090000,45683121
9-1-0,9,0,Copley Station - City Point via L St,Weekdays only,2,50090004,45683101
9-5-0,9,0,Ave Louis Pasteur - City Point via Andrew Station,School days only,3,50090006,45683372
9-_-1,9,1,City Point - Copley Station,,1,50090100,45683194
9-1-1,9,1,City Point - Copley Station via L St,AM peak hours only,3,50090104,45683226
9-4-1,9,1,City Point - Kenmore Station via Ave Louis Pasteur,School days only,3,50090105,45683207
10-9-0,10,0,Copley Square - City Point via South Bay Center,,1,50100000,45683611
10-5-0,10,0,Copley Station - City Point,Late nights only,3,50100004,45683498
10-8-0,10,0,Townsend St & Warren St - City Point via Nubian Station,School days only,3,50100007,45683609
10-9-1,10,1,City Point - Copley Square via South Bay Center,,1,50100100,45683499
10-2-1,10,1,City Point - Franklin Park via Andrew,School days only,3,50100104,45683680
11-3-0,11,0,Chauncy St & Summer St - City Point,,1,50110000,45683440
11-2-0,11,0,Tufts Medical Center - City Point,Sundays only,3,50110004,45781237
11-3-1,11,1,City Point - Chauncy St & Summer St,,1,50110100,45683500
11-2-1,11,1,City Point - Tufts Medical Center,Sundays only,3,50110104,45781235
14-_-0,14,0,Heath St - Roslindale Square,,1,50140000,45523217
14-1-0,14,0,Nubian Station - Roslindale Square,Weekday early mornings only,3,50140004,45523250
14-_-1,14,1,Roslindale Square - Heath St,,1,50140100,45523218
15-1-0,15,0,Ruggles Station - Fields Corner Station,,1,50150000,45682531
15-_-0,15,0,Ruggles Station - Kane Square,Weekdays only,2,50150004,45682152
15-2-0,15,0,Ruggles Station - St Peter's Square,Weekday middays only,2,50150006,45682364
15-3-0,15,0,Nubian Station - Kane Square,School days only,3,50150007,45682510
15-H-0,15,0,Haymarket Station - Mattapan Station,Early mornings only,3,50150008,45683686
15-1-1,15,1,Fields Corner Station - Ruggles Station,,1,50150100,45682524
15-_-1,15,1,Kane Square - Ruggles Station,Weekdays only,2,50150104,45682072
15-2-1,15,1,St Peter's Square - Ruggles Station,Weekday middays only,2,50150106,45682588
15-4-1,15,1,Ashmont Station - Nubian Station,Early mornings only,3,50150107,45682179
15-H-1,15,1,Mattapan Station - Haymarket Station,Early mornings only,3,50150110,45683685
15-3-1,15,1,Kane Square - Nubian Station,School days only,3,50150113,45682511
16-5-0,16,0,McCormack Housing - Forest Hills via South Bay Center,,2,50160000,45682541
16-9-0,16,0,Andrew Station - Forest Hills Station via South Bay Center,,2,50160003,45682548
16-3-0,16,0,Andrew Station - Forest Hills Station,,2,50160007,45682520
16-2-0,16,0,Harbor Point - Forest Hills Station,Weekdays only,2,50160011,45682523
16-8-0,16,0,Harbor Point - Forest Hills Station via South Bay Center,Weekdays only,2,50160012,45682522
16-7-0,16,0,"Andrew Station - Forest Hills Station, Upper Busway",Weekdays only,3,50160013,45963948
